topic_id	Query
406	Obediencia debida
408	Tentativa real
410	Coautoría
411	Delación premiada
413	Crimen de lesa humanidad
414	Genocidio
415	Desaparición forzada
417	Sabotaje informático
418	Acceso ilícito a sistemas
419	Falsificación de documentos privados
420	Uso de documento falso
424	Enriquecimiento ilícito
426	Cohecho pasivo agravado
429	Narcotráfico fluvial
430	Narcotráfico terrestre
433	Confiscación de bienes
434	Extinción de dominio
436	Embargo preventivo
437	Secuestro de bienes
438	Nulidad absoluta, Prueba ilícita
439	Nulidad relativa, Defectos formales
440	Plazo razonable del proceso
441	Duración máxima de la prisión preventiva
445	Valoración de la prueba
446	Sentencia condenatoria fundamentación
448	Libertad condicional anticipada
500	Pena mínima
501	Delito tentado
502	Crimen tentado
503	Violencia Familiar
504	Lavado de dinero
